Ê±¼ä,Q1,Q2,Q3,QT1,QT2,,0.05,,,,,
0,0.00081,0.00081,0.00081,0.00081,0.00081,,0.001963495,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.005,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.01,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.015,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.02,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.025,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.03,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.035,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.04,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.045,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.05,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.055,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.06,0.00081,0.00081,0.00081,0.00081,0.00081,,,0.412529612,0.412529612,0.412529612,0.412529612,0.412529612
0.065,0.00081,0.00081,0.00078,0.00081,0.00081,,,0.412529612,0.412529612,0.397250738,0.412529612,0.412529612
0.07,0.00081,0.00081,0.00075,0.00081,0.00081,,,0.412529612,0.412529612,0.381971863,0.412529612,0.412529612
0.075,0.00081,0.00081,0.00072,0.00081,0.00081,,,0.412529612,0.412529612,0.366692989,0.412529612,0.412529612
0.08,0.00081,0.00081,0.00069,0.00081,0.00081,,,0.412529612,0.412529612,0.351414114,0.412529612,0.412529612
0.085,0.00081,0.00081,0.00066,0.00081,0.00081,,,0.412529612,0.412529612,0.33613524,0.412529612,0.412529612
0.09,0.00081,0.00081,0.00062,0.00081,0.00081,,,0.412529612,0.412529612,0.315763407,0.412529612,0.412529612
0.095,0.00081,0.00081,0.00059,0.00081,0.00081,,,0.412529612,0.412529612,0.300484533,0.412529612,0.412529612
0.1,0.00081,0.00081,0.00055,0.00081,0.00081,,,0.412529612,0.412529612,0.2801127,0.412529612,0.412529612
0.105,0.00081,0.00081,0.00052,0.00081,0.00078,,,0.412529612,0.412529612,0.264833825,0.412529612,0.397250738
0.11,0.00081,0.00081,0.00048,0.00081,0.00075,,,0.412529612,0.412529612,0.244461993,0.412529612,0.381971863
0.115,0.00081,0.00081,0.00044,0.00081,0.00072,,,0.412529612,0.412529612,0.22409016,0.412529612,0.366692989
0.12,0.00081,0.00081,0.00039,0.00081,0.00069,,,0.412529612,0.412529612,0.198625369,0.412529612,0.351414114
0.125,0.00081,0.00081,0.00035,0.00081,0.00066,,,0.412529612,0.412529612,0.178253536,0.412529612,0.33613524
0.13,0.00081,0.00081,0.00031,0.00081,0.00063,,,0.412529612,0.412529612,0.157881704,0.412529612,0.320856365
0.135,0.00081,0.00081,0.00026,0.00081,0.00059,,,0.412529612,0.412529612,0.132416913,0.412529612,0.300484533
0.14,0.00081,0.00081,0.00021,0.00081,0.00056,,,0.412529612,0.412529612,0.106952122,0.412529612,0.285205658
0.145,0.00081,0.00078,0.00017,0.00081,0.00052,,,0.412529612,0.397250738,0.086580289,0.412529612,0.264833825
0.15,0.00081,0.00075,0.00012,0.00081,0.00048,,,0.412529612,0.381971863,0.061115498,0.412529612,0.244461993
0.155,0.00081,0.00072,0.00006,0.00081,0.00044,,,0.412529612,0.366692989,0.030557749,0.412529612,0.22409016
0.16,0.00081,0.00069,0.00001,0.00081,0.0004,,,0.412529612,0.351414114,0.005092958,0.412529612,0.203718327
0.165,0.00081,0.00066,0,0.00081,0.00036,,,0.412529612,0.33613524,0,0.412529612,0.183346494
0.17,0.00081,0.00063,0,0.00081,0.00031,,,0.412529612,0.320856365,0,0.412529612,0.157881704
0.175,0.00081,0.00059,0,0.00081,0.00027,,,0.412529612,0.300484533,0,0.412529612,0.137509871
0.18,0.00081,0.00056,0,0.00081,0.00022,,,0.412529612,0.285205658,0,0.412529612,0.11204508
0.185,0.00081,0.00052,0,0.00081,0.00017,,,0.412529612,0.264833825,0,0.412529612,0.086580289
0.19,0.00081,0.00048,0,0.00081,0.00012,,,0.412529612,0.244461993,0,0.412529612,0.061115498
0.195,0.00081,0.00044,0,0.00081,0.00006,,,0.412529612,0.22409016,0,0.412529612,0.030557749
0.2,0.00081,0.0004,0,0.00081,0.00001,,,0.412529612,0.203718327,0,0.412529612,0.005092958
0.205,0.00081,0.00036,0,0.00081,0.00001,,,0.412529612,0.183346494,0,0.412529612,0.005092958
0.21,0.00081,0.00032,0,0.00081,0.00001,,,0.412529612,0.162974662,0,0.412529612,0.005092958
0.215,0.00081,0.00027,0,0.00081,0.00001,,,0.412529612,0.137509871,0,0.412529612,0.005092958
0.22,0.00081,0.00022,0,0.00081,0.00001,,,0.412529612,0.11204508,0,0.412529612,0.005092958
0.225,0.00078,0.00018,0,0.00081,0.00001,,,0.397250738,0.091673247,0,0.412529612,0.005092958
0.23,0.00076,0.00013,0,0.00081,0.00001,,,0.387064822,0.066208456,0,0.412529612,0.005092958
0.235,0.00073,0.00007,0,0.00081,0.00001,,,0.371785947,0.035650707,0,0.412529612,0.005092958
0.24,0.0007,0.00001,0,0.00081,0.00001,,,0.356507073,0.005092958,0,0.412529612,0.005092958
0.245,0.00067,0.00001,0,0.00081,0.00001,,,0.341228198,0.005092958,0,0.412529612,0.005092958
0.25,0.00063,0.00001,0,0.00081,0.00001,,,0.320856365,0.005092958,0,0.412529612,0.005092958
